0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1900
1110 $a01.04.1900$b01.04.1900$n01.04.1900$4ezth
7100 Bö-GR/V/180
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1900
1110 $a12.05.1900$b12.05.1900$n12.05.1900$4ezth
7100 Bö-GR/V/356
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1900
1110 $a01.06.1900$b01.06.1900$n01.06.1900$4ezth
7100 Bö-GR/V/657
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1900
1110 $a20.06.1900$b20.06.1900$n20.06.1900$4ezth
7100 Bö-GR/V/140
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1900
1110 $a01.07.1900$b01.07.1900$n01.07.1900$4ezth
7100 Bö-GR/V/141
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a01.06.1901$b01.06.1901$n01.06.1901$4ezth
7100 Bö-GR/V/357
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a01.06.1901$b01.06.1901$n01.06.1901$4ezth
7100 Bö-GR/V/391
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a01.07.1901$b01.07.1901$n01.07.1901$4ezth
7100 Bö-GR/V/461
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a10.10.1901$b10.10.1901$n10.10.1901$4ezth
7100 Bö-GR/V/485
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a15.11.1901$b15.11.1901$n15.11.1901$4ezth
7100 Bö-GR/V/139
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1901
1110 $a01.12.1901$b01.12.1901$n01.12.1901$4ezth
7100 Bö-GR/V/638
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1902
1110 $a01.03.1902$b01.03.1902$n01.03.1902$4ezth
7100 Bö-GR/V/312
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1902
1110 $a07.05.1902$b07.05.1902$n07.05.1902$4ezth
7100 Bö-GR/V/532
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1902
1110 $a15.05.1902$b15.05.1902$n15.05.1902$4ezth
7100 Bö-GR/V/628
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1902
1110 $a30.09.1902$b30.09.1902$n30.09.1902$4ezth
7100 Bö-GR/V/706
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1903
1110 $a06.01.1903$b06.01.1903$n06.01.1903$4ezth
7100 Bö-GR/V/636
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1903
1110 $a20.04.1903$b20.04.1903$n20.04.1903$4ezth
7100 Bö-GR/V/494
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1903
1110 $a16.10.1903$b16.10.1903$n16.10.1903$4ezth
7100 Bö-GR/V/283
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1903
1110 $a08.12.1903$b08.12.1903$n08.12.1903$4ezth
7100 Bö-GR/V/452
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1904
1110 $a04.10.1904$b04.10.1904$n04.10.1904$4ezth
7100 Bö-GR/V/719
	
0500 Da
0501 Text$btxt
0502 ohne Hilfsmittel zu benutzen$bn
0503 Blatt$bnb
0600 yy
1100 1904
